VideoCompletes,SocialLikes,SocialShares,conversion
300584,99,8,0
300055,99,8,209
300077,99,8,46
301941,113,7,0
301948,113,7,258
307037,113,7,150
304655,96,5,0
313347,97,5,120
314259,95,5,2
314548,107,5,0
312783,108,5,236
311797,108,5,71
312873,117,5,0
417736,117,5,93
417663,117,5,7
418943,115,5,0
419011,116,5,196
418885,121,5,17
420432,120,5,0
418007,120,5,171
416866,120,5,99
411010,101,7,0
409133,101,7,260
408106,101,7,3
408106,109,6,1
408109,109,6,335
408849,109,6,162
412580,118,6,0
361720,118,6,47
361720,118,6,6
361868,119,6,0
360600,119,6,232
360093,119,6,30
358934,113,7,0
358930,113,7,278
358558,113,7,84
355010,109,7,0
346321,108,7,357
345410,108,7,5
345121,97,7,0
344846,97,7,230
345411,100,7,83
349295,84,10,0
252067,84,10,67
255320,84,10,7
254188,87,10,12
254816,87,10,339
256145,83,10,48
254642,87,10,0
254642,87,10,312
261796,88,10,213
263879,80,6,0
270599,80,6,236
269402,81,6,9
269402,72,5,0
269401,72,5,449
269289,74,5,45
265126,60,5,0
264727,60,5,92
264727,60,5,38
265845,64,5,2
265950,64,5,438
265440,64,5,23
264886,60,4,0
267039,60,4,301
262273,60,4,54
269437,68,4,0
269431,68,4,507
274693,68,4,1
274693,69,4,0
274693,68,4,348
274867,65,4,111
273263,64,1,0
261202,64,1,99
257937,64,1,2
259326,64,1,0
256931,63,1,375
255482,62,1,85
255744,61,1,0
255899,61,1,437
248455,60,1,52
244330,55,1,0
237747,55,1,320
240456,54,1,9
240493,55,0,0
241266,55,0,214
242025,53,0,88
245355,53,0,0
253694,53,0,156
253694,53,0,1
253069,49,0,0
252810,49,0,210
258478,49,0,114
258634,66,0,0
264348,69,0,250
264350,69,0,49
262470,74,1,0
262470,74,1,277
258617,76,2,7
258617,81,7,0
266728,81,7,299
273938,81,7,64
272855,84,7,0
295358,86,7,147
295358,86,7,0
296105,89,7,0
296560,89,7,158
299246,89,7,82
298756,92,7,0
299133,92,7,334
299133,92,7,57
303112,94,7,0
304467,95,7,332
301229,95,7,4
301192,98,7,0
302827,98,7,398
308476,98,7,68
310333,102,7,1
390865,103,7,127
390865,103,7,58
389290,105,7,0
389089,105,7,169
383539,105,7,62
383757,90,8,0
375887,87,8,160
378226,87,8,226
380413,83,7,0
380413,84,7,243
380849,82,6,75
380849,76,1,0
372738,76,1,267
364614,76,1,61
367908,75,1,8
324728,73,1,34
324728,73,1,5
322891,69,1,0
322436,69,1,344
324218,69,1,111
324694,67,2,0
324162,67,2,302
325030,67,2,71
327629,71,4,0
326137,70,4,246
326134,70,4,5
326134,83,4,0
323729,83,4,309
316797,83,4,60
314842,82,4,0
215979,81,4,46
215979,81,4,1
222831,79,4,0
222828,80,4,323
222713,80,4,88
222844,81,3,0
222993,81,3,244
221895,81,3,45
218981,74,3,0
218992,73,3,166
217146,73,3,0
217146,73,3,0
217146,73,3,435
220155,73,3,88
216809,82,3,0
228182,82,3,65
228182,82,3,19
237064,80,3,0
237126,80,3,416
233876,80,3,42
234284,77,2,0
234420,77,2,190
234446,77,2,94
230311,73,0,0
230311,73,0,264
230311,73,0,0
230313,78,0,0
231042,80,0,349
230938,80,0,77
232368,77,0,0
217343,77,0,102
222180,77,0,16
227104,75,0,0
227295,74,0,383
229992,74,0,59
229434,65,0,0
229286,65,0,389
229335,65,0,156
232753,75,0,0
232742,75,0,321
233941,75,0,9
233941,84,0,0
234710,85,0,185
235696,86,0,55
239266,72,0,1
229440,72,0,30
229440,72,0,2
231489,77,0,1
231429,77,0,413
230330,77,0,112
229732,75,0,0
234901,75,0,139
243452,76,0,209
240168,73,0,0
240192,73,0,248
241228,75,0,16
241639,57,0,0
240905,55,0,111
243775,55,0,79
241813,56,0,0
241533,56,0,41
236800,56,0,3
235427,56,0,0
242984,60,0,327
243434,60,0,55
243268,72,0,0
244482,72,0,171
248714,73,0,74
247780,72,1,0
249808,72,1,114
249343,72,1,0
249343,69,1,0
252774,68,1,488
249918,67,1,92
245478,65,1,0
204496,65,1,149
204496,65,1,0
204886,60,1,0
211105,60,1,250
218699,60,1,96
217719,60,2,0
213705,60,2,244
204261,59,2,194
202776,58,2,7
207261,58,2,205
206362,56,2,89
205949,50,2,0
205953,50,2,233
203121,50,2,94
205493,46,2,0
139537,46,2,39
141198,46,2,0
148857,46,2,0
141436,42,2,262
138637,44,2,160
137296,31,2,0
141300,31,2,28
145056,30,2,69
149156,32,1,0
151325,32,1,13
150591,32,1,14
150591,23,1,8
147315,23,1,15
152783,23,1,8
162787,29,1,0
214140,29,1,45
219707,31,1,0
213676,34,3,65
207455,34,3,19
203787,39,3,6
