VideoCompletes,SocialLikes,SocialShares,CTR,conversion,AudienceType,AdDigitalChannel
2123037.0,63.0,0.0,0.1445060129168862,2,Audience Type 4,Programmatic Display
2074785.0,63.0,0.0,0.14672978362902628,0,Audience Type 4,Programmatic Display
2060026.0,63.0,0.0,0.14868274943844434,1,Audience Type 4,Programmatic Display
2035735.0,57.0,0.0,0.15054479573507204,0,Audience Type 4,Programmatic Display
2014261.0,53.0,0.0,0.15192143184185863,0,Audience Type 4,Programmatic Display
1906287.0,50.0,0.0,0.15127477270511494,0,Audience Type 4,Programmatic Display
1793028.0,45.0,0.0,0.15207153267407725,0,Audience Type 4,Programmatic Display
1705033.0,41.0,0.0,0.15240495223159858,0,Audience Type 4,Programmatic Display
1620725.0,39.0,0.0,0.15405573223013483,0,Audience Type 4,Programmatic Display
1530087.0,39.0,0.0,0.15598244461584967,5,Audience Type 4,Programmatic Display
1605355.0,39.0,0.0,0.15791876070360958,36,Audience Type 4,Programmatic Display
1687241.0,41.0,0.0,0.1605390551076538,10,Audience Type 4,Programmatic Display
1754751.0,36.0,0.0,0.16117037218015215,14,Audience Type 4,Programmatic Display
1865117.0,35.0,0.0,0.16207894064645767,19,Audience Type 4,Programmatic Display
2004199.0,35.0,0.0,0.16445841866947936,3,Audience Type 4,Programmatic Display
1920487.0,35.0,0.0,0.16995971905052937,0,Audience Type 4,Programmatic Display
1813188.0,33.0,0.0,0.17595517304342362,2,Audience Type 4,Programmatic Display
1673759.0,32.0,0.0,0.18428994201628152,0,Audience Type 4,Programmatic Display
1565833.0,31.0,0.0,0.19106849620159766,0,Audience Type 4,Programmatic Display
1433827.0,25.0,0.0,0.19643061467008816,0,Audience Type 4,Programmatic Display
1307737.0,23.0,0.0,0.20157759967828257,0,Audience Type 4,Programmatic Display
1144635.0,21.0,0.0,0.20805935568870465,0,Audience Type 4,Programmatic Display
994038.0,17.0,0.0,0.21369120599538097,0,Audience Type 4,Programmatic Display
870475.0,9.0,0.0,0.21979447690843448,0,Audience Type 4,Programmatic Display
869868.0,9.0,0.0,0.22219928888257826,0,Audience Type 4,Programmatic Display
869868.0,9.0,0.0,0.22326382886778742,0,Audience Type 4,Programmatic Display
868406.0,9.0,0.0,0.22299660047266287,0,Audience Type 4,Programmatic Display
868310.0,9.0,0.0,0.22302766739969995,0,Audience Type 4,Programmatic Display
868310.0,9.0,0.0,0.22765574060725985,0,Audience Type 4,Programmatic Display
868310.0,9.0,0.0,0.23368234906251126,0,Audience Type 4,Programmatic Display
868300.0,9.0,0.0,0.2401466582869734,0,Audience Type 4,Programmatic Display
868300.0,9.0,0.0,0.2469851760854273,0,Audience Type 4,Programmatic Display
868301.0,9.0,0.0,0.2532645618229535,0,Audience Type 4,Programmatic Display
872317.0,9.0,0.0,0.259770407777225,0,Audience Type 4,Programmatic Display
872546.0,9.0,0.0,0.2650948414002187,0,Audience Type 4,Programmatic Display
1023852.0,9.0,0.0,0.2673918892380168,19,Audience Type 4,Programmatic Display
1194763.0,9.0,0.0,0.2688902044310797,15,Audience Type 4,Programmatic Display
1343793.0,9.0,0.0,0.27075327209377814,17,Audience Type 4,Programmatic Display
1481462.0,9.0,0.0,0.27208880226334065,18,Audience Type 4,Programmatic Display
1652403.0,9.0,0.0,0.2722537929037133,13,Audience Type 4,Programmatic Display
1687616.0,10.0,0.0,0.2727472047396788,27,Audience Type 4,Programmatic Display
1673800.0,8.0,0.0,0.2727302791005836,17,Audience Type 4,Programmatic Display
1703243.0,8.0,0.0,0.27380163950409414,33,Audience Type 4,Programmatic Display
1693708.0,8.0,0.0,0.27436100114898193,22,Audience Type 4,Programmatic Display
1669042.0,8.0,0.0,0.2754884592941444,13,Audience Type 4,Programmatic Display
1832031.0,2.0,0.0,0.2730239158816493,13,Audience Type 4,Programmatic Display
1981933.0,2.0,0.0,0.2693688995336139,14,Audience Type 4,Programmatic Display
2133470.0,5.0,0.0,0.2642637087571849,12,Audience Type 4,Programmatic Display
2285611.0,6.0,0.0,0.2602275556479342,33,Audience Type 4,Programmatic Display
2469608.0,6.0,0.0,0.2569819809322599,69,Audience Type 4,Programmatic Display
2617296.0,6.0,0.0,0.2541660420423894,67,Audience Type 4,Programmatic Display
2762065.0,6.0,0.0,0.25109478231813764,24,Audience Type 4,Programmatic Display
2948307.0,6.0,0.0,0.24884486145710563,15,Audience Type 4,Programmatic Display
3139879.0,6.0,0.0,0.24608087825833985,24,Audience Type 4,Programmatic Display
3311061.0,6.0,0.0,0.2423784257382558,27,Audience Type 4,Programmatic Display
3472870.0,8.0,0.0,0.23852276814469803,23,Audience Type 4,Programmatic Display
3650074.0,8.0,0.0,0.2343942661458845,34,Audience Type 4,Programmatic Display
3797516.0,8.0,0.0,0.23062788091957565,7,Audience Type 4,Programmatic Display
3962089.0,13.0,1.0,0.22719680783956633,22,Audience Type 4,Programmatic Display
4136897.0,15.0,1.0,0.22355822754435956,35,Audience Type 4,Programmatic Display
4319907.0,16.0,1.0,0.2184238886842033,29,Audience Type 4,Programmatic Display
4446378.0,16.0,1.0,0.21283330346113166,28,Audience Type 4,Programmatic Display
4621995.0,17.0,1.0,0.20655683301858857,45,Audience Type 4,Programmatic Display
4743957.0,17.0,1.0,0.19937514522006966,41,Audience Type 4,Programmatic Display
4941053.0,17.0,1.0,0.19297534804392208,28,Audience Type 4,Programmatic Display
4950170.0,18.0,1.0,0.19087042735302123,35,Audience Type 4,Programmatic Display
4962371.0,18.0,1.0,0.18901855666828293,22,Audience Type 4,Programmatic Display
4969829.0,18.0,1.0,0.18666592267070597,22,Audience Type 4,Programmatic Display
4882306.0,18.0,1.0,0.1847696296756291,25,Audience Type 4,Programmatic Display
4749065.0,19.0,1.0,0.1861240919527537,11,Audience Type 4,Programmatic Display
4612547.0,18.0,1.0,0.18712931143585637,27,Audience Type 4,Programmatic Display
4515443.0,17.0,1.0,0.18749948049177872,89,Audience Type 4,Programmatic Display
4403516.0,17.0,1.0,0.18691935681459743,20,Audience Type 4,Programmatic Display
4255515.0,19.0,1.0,0.1864383864759692,14,Audience Type 4,Programmatic Display
4121435.0,19.0,1.0,0.18556268535968726,9,Audience Type 4,Programmatic Display
4004416.0,19.0,1.0,0.1844263775745671,20,Audience Type 4,Programmatic Display
3898164.0,19.0,1.0,0.1841886702513595,3,Audience Type 4,Programmatic Display
3795909.0,16.0,1.0,0.18392441690813316,13,Audience Type 4,Programmatic Display
97747.0,0.0,0.0,0.4916891788397235,4,Audience Type 5,Programmatic Display
95799.0,0.0,0.0,0.4733558455063901,3,Audience Type 5,Programmatic Display
96037.0,0.0,0.0,0.47228057668918577,0,Audience Type 5,Programmatic Display
90498.0,0.0,0.0,0.4536365088925756,2,Audience Type 5,Programmatic Display
85240.0,5.0,2.0,0.45202832175807267,0,Audience Type 5,Programmatic Display
76601.0,5.0,2.0,0.4486384912495981,0,Audience Type 5,Programmatic Display
76168.0,5.0,2.0,0.44708293569404256,0,Audience Type 5,Programmatic Display
75699.0,5.0,2.0,0.4445056161064137,0,Audience Type 5,Programmatic Display
74806.0,5.0,2.0,0.4493887114923025,0,Audience Type 5,Programmatic Display
73262.0,5.0,2.0,0.4490825465793959,0,Audience Type 5,Programmatic Display
71069.0,5.0,2.0,0.4488641326009013,0,Audience Type 5,Programmatic Display
71061.0,5.0,2.0,0.44735570109246975,0,Audience Type 5,Programmatic Display
70479.0,5.0,2.0,0.4477728179897707,0,Audience Type 5,Programmatic Display
69006.0,5.0,2.0,0.4460291999824054,0,Audience Type 5,Programmatic Display
67772.0,5.0,2.0,0.44302388697709233,0,Audience Type 5,Programmatic Display
65922.0,5.0,2.0,0.43782967637304576,1,Audience Type 5,Programmatic Display
64640.0,5.0,2.0,0.4335087097483964,0,Audience Type 5,Programmatic Display
63142.0,5.0,2.0,0.428183643408327,0,Audience Type 5,Programmatic Display
59521.0,5.0,2.0,0.4246661388455263,0,Audience Type 5,Programmatic Display
34597.0,5.0,2.0,0.4194632985594093,0,Audience Type 5,Programmatic Display
34277.0,5.0,2.0,0.4163016002757597,0,Audience Type 5,Programmatic Display
32147.0,5.0,2.0,0.4114902355808365,0,Audience Type 5,Programmatic Display
31037.0,5.0,2.0,0.4045588575022504,1,Audience Type 5,Programmatic Display
33191.0,5.0,2.0,0.4021402133444758,2,Audience Type 5,Programmatic Display
