VideoCompletes,SocialLikes,SocialShares,conversion,CampaignID,AdDigitalChannel
254,0,1,101,2,Search
238,0,1,26,2,Search
761,0,1,1,2,Search
759,0,1,9,2,Search
759,0,1,2,2,Search
761,0,0,0,2,Search
770,0,0,1,2,Search
11,0,0,4,2,Search
1200,0,0,1,2,Search
2575,0,0,7,2,Search
2577,0,0,39,2,Search
3117,0,0,12,2,Search
3120,0,0,3,2,Search
2291,1,0,0,2,Search
916,1,0,0,2,Search
6322,1,0,6,2,Search
5914,1,0,8,2,Search
5914,2,0,5,2,Search
5565,1,0,26,2,Search
5565,1,0,4,2,Search
155,1,0,1,2,Search
283,1,0,13,2,Search
3475,0,0,3,2,Search
3464,0,0,122,2,Search
3464,0,0,20,2,Search
3464,0,0,62,2,Search
6328,0,0,3,2,Search
4444,0,0,20,2,Search
4444,0,0,12,2,Search
9033,0,0,2,2,Search
9033,0,0,0,2,Search
5907,0,0,3,2,Search
4596,0,0,0,2,Search
4608,0,0,11,2,Search
19,0,0,0,2,Search
863,0,0,3,2,Search
988,0,0,8,2,Search
1689,0,0,8,2,Search
4555,0,0,12,2,Search
4578,0,0,27,2,Search
3734,0,0,2,2,Search
4158,0,0,0,2,Search
3463,0,0,11,2,Search
2139,0,0,1,2,Search
6190,0,0,10,2,Search
10944,0,0,1,2,Search
10597,0,0,1,2,Search
12131,0,0,9,2,Search
10577,0,0,3,2,Search
8506,0,0,29,2,Search
5117,0,0,34,2,Search
5947,2,0,5,2,Search
4492,2,0,2,2,Search
4492,4,0,4,2,Search
5245,4,0,7,2,Search
4792,4,0,2,2,Search
5482,2,0,3,2,Search
5398,2,0,5,2,Search
5930,1,0,9,2,Search
8437,1,0,1,2,Search
10766,1,0,9,2,Search
10447,3,1,7,2,Search
10449,3,1,4,2,Search
11763,2,1,75,2,Search
6500,2,1,5,2,Search
3259,2,1,0,2,Search
1849,0,0,0,2,Search
3045,0,0,9,2,Search
2235,2,0,16,2,Search
2969,2,0,0,2,Search
3106,2,0,89,2,Search
3106,2,0,14,2,Search
1919,2,0,37,2,Search
884,0,0,40,2,Search
4393,2,0,9,2,Search
6411,2,0,4,2,Search
6531,2,0,17,2,Search
11579,4,2,3,2,Search
11578,4,2,88,2,Search
7335,2,2,76,2,Search
10625,2,2,5,2,Search
11923,5,2,25,2,Search
6863,3,0,1,2,Search
6863,3,0,18,2,Search
8437,3,0,12,2,Search
4106,4,0,75,2,Search
3499,1,0,23,2,Search
4876,1,0,63,2,Search
4997,1,0,38,2,Search
4533,1,0,7,2,Search
3465,0,0,83,2,Search
2654,0,0,12,2,Search
1983,0,0,53,2,Search
1862,0,0,95,2,Search
1253,0,0,46,2,Search
1210,0,0,12,2,Search
1672,0,0,16,2,Search
1745,0,0,28,2,Search
3072,0,0,20,2,Search
2844,0,0,30,2,Search
5321,0,0,151,2,Search
8095,0,0,78,2,Search
8154,0,0,142,2,Search
14216,1,0,140,2,Search
16547,2,0,26,2,Search
23317,8,0,64,2,Search
21077,8,0,189,2,Search
22414,8,0,233,2,Search
16026,7,0,172,2,Search
13422,6,0,136,2,Search
4233,2,0,127,2,Search
5748,5,3,105,2,Search
15278,5,3,51,2,Search
14842,5,3,209,2,Search
15391,5,3,69,2,Search
16753,4,3,146,2,Search
14242,1,0,202,2,Search
2748,1,0,122,2,Search
3512,1,0,59,2,Search
3352,7,0,176,2,Search
1930,6,0,116,2,Search
4352,7,0,45,2,Search
4231,8,0,77,2,Search
2902,8,0,90,2,Search
2514,2,0,22,2,Search
9523,2,0,58,2,Search
13106,1,0,80,2,Search
15322,0,0,183,2,Search
16005,4,0,73,2,Search
16467,4,0,212,2,Search
18477,4,0,207,2,Search
12476,4,0,98,2,Search
13433,4,0,90,2,Search
18205,0,0,115,2,Search
17742,0,0,81,2,Search
11470,0,0,277,2,Search
11817,10,0,101,2,Search
8554,10,0,144,2,Search
3427,10,0,70,2,Search
12409,10,0,78,2,Search
9956,10,0,88,2,Search
9809,0,0,101,2,Search
9813,0,0,171,2,Search
9866,3,0,214,2,Search
909,3,0,71,2,Search
2387,3,0,48,2,Search
6322,5,0,44,2,Search
10787,5,0,42,2,Search
10406,2,0,33,2,Search
11693,2,0,105,2,Search
10049,2,0,116,2,Search
10979,0,0,68,2,Search
6510,0,0,91,2,Search
6816,1,0,53,2,Search
6809,1,0,90,2,Search
6702,1,0,166,2,Search
1633,1,0,91,2,Search
1894,1,0,96,2,Search
1588,1,0,38,2,Search
866,2,0,59,2,Search
1985,2,0,50,2,Search
3263,5,0,96,2,Search
3990,5,0,21,2,Search
5880,4,0,40,2,Search
5314,3,0,25,2,Search
6986,3,0,141,2,Search
7548,0,0,25,2,Search
7031,1,0,49,2,Search
6171,1,0,91,2,Search
10205,1,0,37,2,Search
7543,1,1,145,2,Search
8840,2,1,84,2,Search
8373,1,1,93,2,Search
7933,1,1,64,2,Search
8202,1,1,24,2,Search
