VideoCompletes,SocialLikes,SocialShares,conversion,CampaignID,AdDigitalChannel
30265,10,2,53,2,Search
28419,10,2,95,2,Search
28920,10,2,46,2,Search
28923,10,2,12,2,Search
29385,10,2,16,2,Search
28965,10,2,28,2,Search
29256,8,2,20,2,Search
28795,8,2,30,2,Search
31138,8,2,151,2,Search
34374,8,2,78,2,Search
35200,8,2,142,2,Search
42588,9,2,140,2,Search
40949,8,2,26,2,Search
48044,14,2,64,2,Search
48920,14,2,189,2,Search
46035,12,0,233,2,Search
47036,12,0,172,2,Search
47036,12,0,136,2,Search
41652,14,0,127,2,Search
42745,14,3,105,2,Search
54450,14,3,51,2,Search
55015,14,3,209,2,Search
53990,14,3,69,2,Search
54299,14,3,146,2,Search
53488,14,3,202,2,Search
52322,14,3,122,2,Search
53530,14,3,59,2,Search
52809,20,3,176,2,Search
52764,20,3,116,2,Search
55186,21,3,45,2,Search
54570,22,3,77,2,Search
54570,22,3,90,2,Search
54070,22,3,22,2,Search
61077,22,3,58,2,Search
66620,22,3,80,2,Search
68147,22,3,183,2,Search
67503,26,3,73,2,Search
67693,26,3,212,2,Search
74233,26,3,207,2,Search
71001,26,3,98,2,Search
73426,26,3,90,2,Search
71492,25,3,115,2,Search
68888,24,3,81,2,Search
62386,18,3,277,2,Search
61741,28,3,101,2,Search
59566,28,3,144,2,Search
58893,28,3,70,2,Search
67875,28,3,78,2,Search
68109,26,3,88,2,Search
65802,23,0,101,2,Search
54101,23,0,171,2,Search
53917,26,0,214,2,Search
53393,26,0,71,2,Search
53743,25,0,48,2,Search
57882,27,0,44,2,Search
62140,27,0,42,2,Search
60811,27,0,33,2,Search
61734,21,0,105,2,Search
61862,21,0,116,2,Search
64509,20,0,68,2,Search
64419,19,0,91,2,Search
64725,20,0,53,2,Search
66029,20,0,90,2,Search
59041,20,0,166,2,Search
53036,20,0,91,2,Search
50991,20,0,96,2,Search
50308,17,0,38,2,Search
50428,18,0,59,2,Search
42549,18,0,50,2,Search
43823,21,0,96,2,Search
41548,21,0,21,2,Search
37983,21,0,40,2,Search
38000,21,0,25,2,Search
38065,21,0,141,2,Search
39554,11,0,25,2,Search
40025,12,0,49,2,Search
40727,12,0,91,2,Search
35796,12,0,37,2,Search
35652,12,1,145,2,Search
38585,13,1,84,2,Search
38585,13,1,93,2,Search
38794,10,1,64,2,Search
43089,10,1,24,2,Search
43105,10,1,26,2,Search
41277,8,1,64,2,Search
37131,11,1,142,2,Search
37261,11,1,120,2,Search
10609,5,0,187,3,Search
11393,6,0,133,3,Search
12295,6,0,253,3,Search
12295,6,0,146,3,Search
12295,6,0,135,3,Search
16063,6,0,164,3,Search
16413,6,0,182,3,Search
17149,7,0,181,3,Search
17158,7,0,0,3,Search
17825,7,0,18,3,Search
17587,8,0,105,3,Search
18184,8,0,29,3,Search
17293,11,0,46,3,Search
15068,11,0,34,3,Search
15852,11,0,67,3,Search
16150,11,0,44,3,Search
17893,11,0,55,3,Search
17893,11,0,116,3,Search
18596,10,0,94,3,Search
18335,10,0,93,3,Search
18335,10,0,42,3,Search
19092,10,0,31,3,Search
19313,10,0,8,3,Search
24755,10,0,24,3,Search
29543,10,0,66,3,Search
29543,9,0,122,3,Search
35987,9,0,49,3,Search
32993,9,0,37,3,Search
32965,7,0,38,3,Search
33572,13,0,27,3,Search
33228,14,0,39,3,Search
34746,13,0,33,3,Search
35157,13,0,75,3,Search
35166,13,0,66,3,Search
41080,13,0,74,3,Search
37958,13,0,72,3,Search
37720,13,0,50,3,Search
43992,14,0,100,3,Search
45163,14,0,89,3,Search
51515,15,0,68,3,Search
51515,14,0,50,3,Search
52259,16,0,41,3,Search
53760,13,0,67,3,Search
53598,13,0,70,3,Search
53728,18,1,111,3,Search
54055,18,1,131,3,Search
52312,18,1,59,3,Search
52751,18,1,38,3,Search
56711,18,1,89,3,Search
59872,18,1,70,3,Search
61590,18,1,75,3,Search
60833,18,1,65,3,Search
67315,18,1,88,3,Search
62243,18,1,123,3,Search
59555,18,1,139,3,Search
59604,18,1,181,3,Search
57286,18,1,218,3,Search
60752,18,1,133,3,Search
62465,17,1,72,3,Search
61858,11,1,157,3,Search
63095,10,1,65,3,Search
65363,10,1,176,3,Search
64070,10,1,117,3,Search
68197,10,1,123,3,Search
62283,11,1,86,3,Search
71723,13,1,111,3,Search
72618,13,1,115,3,Search
66481,12,1,135,3,Search
68014,12,1,26,3,Search
60784,11,1,117,3,Search
62197,11,1,126,3,Search
62020,9,1,47,3,Search
60222,9,1,45,3,Search
60399,9,1,71,3,Search
60212,4,0,162,3,Search
60330,7,0,83,3,Search
60958,9,0,45,3,Search
61436,9,0,111,3,Search
58159,9,0,88,3,Search
62677,9,0,64,3,Search
67995,9,0,68,3,Search
67998,9,0,61,3,Search
61399,9,0,60,3,Search
62099,9,0,88,3,Search
59999,9,0,77,3,Search
63948,10,0,55,3,Search
62692,10,0,79,3,Search
59815,10,0,92,3,Search
58140,10,0,94,3,Search
64750,10,0,8,3,Search
63513,10,0,236,3,Search
64186,10,0,130,3,Search
67026,10,0,132,3,Search
63369,10,0,162,3,Search
64485,9,0,50,3,Search
54399,7,0,127,3,Search
54413,7,0,137,3,Search
55427,6,0,172,3,Search
57494,6,0,87,3,Search
61557,6,0,128,3,Search
60561,6,0,128,3,Search
59657,6,0,131,3,Search
59657,6,0,68,3,Search
65678,7,0,61,3,Search
66291,8,0,179,3,Search
66051,5,0,102,3,Search
66476,3,0,64,3,Search
65798,6,0,81,3,Search
71900,6,0,17,3,Search
64740,7,0,71,3,Search
58374,7,0,179,3,Search
58371,7,0,111,3,Search
60589,7,0,73,3,Search
58018,11,0,52,3,Search
65249,11,0,75,3,Search
61257,10,0,146,3,Search
60795,10,0,67,3,Search
59668,10,0,141,3,Search
60760,10,0,91,3,Search
54647,12,0,96,3,Search
55249,13,0,93,3,Search
50006,13,0,38,3,Search
47603,14,0,186,3,Search
47936,16,0,62,3,Search
53365,16,0,207,3,Search
60573,17,0,396,3,Search
67027,19,2,605,3,Search
75585,19,2,526,3,Search
73503,19,2,269,3,Search
75026,19,2,369,3,Search
76715,19,2,418,3,Search
78066,20,2,730,3,Search
83882,20,2,656,3,Search
86039,19,2,731,3,Search
86434,20,2,521,3,Search
87378,20,2,448,3,Search
103954,20,2,430,3,Search
110050,17,2,957,3,Search
116038,20,2,571,3,Search
119736,21,3,588,3,Search
124718,22,3,348,3,Search
135956,22,3,265,3,Search
141184,23,3,301,3,Search
145280,21,3,358,3,Search
145641,21,3,275,3,Search
148493,22,3,449,3,Search
152592,25,3,430,3,Search
159367,27,3,268,3,Search
160886,27,3,440,3,Search
165779,26,3,210,3,Search
171050,26,3,384,3,Search
176354,28,3,417,3,Search
177413,27,3,805,3,Search
188098,27,3,929,3,Search
183269,27,3,797,3,Search
179267,29,3,541,3,Search
177153,27,1,289,3,Search
172367,29,1,268,3,Search
175517,30,1,858,3,Search
175354,30,1,612,3,Search
181100,32,1,724,3,Search
187168,33,1,660,3,Search
184647,33,1,719,3,Search
180856,33,1,252,3,Search
180624,31,1,401,3,Search
185130,32,1,446,3,Search
167693,32,1,658,3,Search
167854,32,1,563,3,Search
171458,31,1,1049,3,Search
186649,39,0,757,3,Search
192940,38,0,399,3,Search
190059,38,0,311,3,Search
183215,38,0,676,3,Search
190051,38,0,993,3,Search
193458,40,0,965,3,Search
194824,43,0,1077,3,Search
204512,40,0,808,3,Search
217471,39,0,473,3,Search
224820,40,0,536,3,Search
230389,40,0,693,3,Search
229787,42,0,517,3,Search
